Name,Possible Other Name,Associated School,School Address,State,Start Date,End Date,Currently Operating,BSDC_Housing,BSDC_Education,BSDC_Federal_Support,BSDC_Timeframe,ST_Government,ST_Tribal,ST_Boarding_School,ST_Day_School,ST_Contract,ST_Mission,ST_Sanatorium,ST_Dormitory,ST_Training,ST_Jail,ST_Reservation,ST_Nonreservation,ST_College,ST_Residential,ST_Grant,ST_Health,ST_Industrial_Shool,ST_Farm,ST_Orphanage,ST_Seminary,ST_State,ST_Normal,ST_Vocational,ST_Independent,ST_Private
Lower Brule Boarding and Day School,Lower Brule Day School; Lower Brule Schools; Lower Brule Elementary School; Lower Brule Jr. High; Lower Brule High School*,Lower Brule Industrial Boarding School,"Lower Brule, South Dakota",SD,1895,,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Lukachukai Boarding and Day School,"Luki Chuki Day School, Lukachukai Community School",,"Lukachukai, Arizona",AZ,1936,,"Tribally-Controlled, BIE school",Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mackinac Mission School,"Mission House, Michilimackic or Michillimackinac School, Mackinaw Mission School for Native American and Metis Children",,"Mackinac Island, Michigan",MI,1823,1837,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Maddock Agricultural and Training School,"Benson County Agricultural and Training School, Maddock Public School",,"Maddock, North Dakota",ND,1914,,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Many Farms Community School,,Chinle Boarding School,"Many Farms, Arizona",AZ,1943,,"Tribally-Controlled, BIE school",Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Many Farms High School,,,"Many Farms, Arizona",AZ,1969,,BIE Operated,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mariano Lake Boarding School,Mariano Lake Community School,,"Crownpoint, New Mexico",NM,1935,,BIE Operated,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Marsh Pass School,"Marsh Pass Indian Boarding School, Kayenta Tuberculosis Sanatorium, Kayenta TB Sanatorium, Kayenta Sanatorium",,"Kayenta, Arizona",AZ,1913,1927,N,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Martinsburg School,"Juniata Institute, Juniata Collegiate Institute, Martinsburg Indian School",,"Martinsburg, Pennsylvania",PA,1885,1888,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Martyn Mission School,,,"Holly Springs, Mississippi",MS,1824,1832,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mary Gregory Memorial Mission School,Mary Gregory Memorial,,"Anadarko, Oklahoma",OK,1896,1909,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mary Immaculate School at the Mission of the Sacred Heart of DeSmet,"Sisters Building, De Smet",,"De Smet, Idaho",ID,1878,1974,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mauna Loa Forestry Camp School,,,"Mountain View, Hawaii",HI,1952,1953,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mayhew School,Mayhew Mission School; Mayhew Station School,Mayhew School - OK,"Starkville, Mississippi",MS,1820,1832,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
McCabe Boarding,Pawhuska Boarding,Osage Boarding School,"Pawhuska, Oklahoma",OK,1889,1893,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mekusukey Academy,,Wewoka Mission School,"Seminole, Oklahoma",OK,1891,1930,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Menominee Boarding School,"Green Bay Boarding School, Keshena School, Keshema, Menomonee Industrial School, Menominee Tribal School",,"Keshena, Wisconsin",WI,1879,1938,"Tribally-Controlled, BIE school",Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mescalero Boarding School,Mescalero Apache School,,"Mescalero, New Mexico",NM,1877,,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mexican Springs Boarding School,"Mexican Springs Day School, Mexican Springs Dormitory",,"Mexican Springs, New Mexico",NM,1935,1963,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
