Name,Possible Other Name,Associated School,School Address,State,Start Date,End Date,Currently Operating,BSDC_Housing,BSDC_Education,BSDC_Federal_Support,BSDC_Timeframe,ST_Government,ST_Tribal,ST_Boarding_School,ST_Day_School,ST_Contract,ST_Mission,ST_Sanatorium,ST_Dormitory,ST_Training,ST_Jail,ST_Reservation,ST_Nonreservation,ST_College,ST_Residential,ST_Grant,ST_Health,ST_Industrial_Shool,ST_Farm,ST_Orphanage,ST_Seminary,ST_State,ST_Normal,ST_Vocational,ST_Independent,ST_Private
St. Mary Mission School - Akulurak,"St. Mary Mission, School and Church of the Nativity; St. Joseph's Mission",St. Mary Mission School - Andreafsky,"Akulurak, Alaska",AK,1902,1951,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Mary Mission School - Andreafsky,"St. Mary Mission, School and Church of the Nativity; St. Joseph's Mission",St. Mary Mission School - Akulurak,"Andreafsky , Alaska",AK,1951,1987,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Mary’s Indian Industrial School,"St. Mary School at Turtle Mountain, St. Mary's (Turtle Mountain), Devil's Lake - Turtle Mountain (St. Mary's), St. Mary's Mission Boarding",,"Belcourt, North Dakota",ND,1884,1910,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Mary's Mission Boarding and Day School,Red Lake Mission Boarding School,,"Red Lake, Minnesota",MN,1899,1940,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Mary's Mission School,"St. Mary's of the Quapaw, St. Mary's Mission and School in Oklahoma, St. Mary's School for Indians",,"Quapaw, Oklahoma",OK,1893,1928,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Mary's Mission School,Paschal Sherman Indian School*,,"Omak, Washington",WA,1886,,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Mary's School for Girls,"St. Mary's Episcopal School for Indian Girls, St. Mary's Mission Boarding",,"Springfield, South Dakota",SD,1895,1932,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Mary's Training School for Boys,"Feehanville School, Maryville Academy*",,"Des Plaines, Illinois",IL,1883,,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Michael's Manual Labor School,St. Michael's Mission School,St. Michael's Mission School,"St Michael, North Dakota",ND,1874,1883,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Michael's Mission School,"Our Lady of Sorrows Chapel and School, Seven Dolors Mission","Little Flower Mission School, St. Michael's Manual Labor School","Fort Totten, North Dakota",ND,1885,1941,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Michael's Mission,The Church of Our Father's House,Mill Creek Elementary School District No. 14,"Ethete, Wyoming",WY,1912,1956,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Patrick's Mission and Boarding School,Anadarko Boarding School,,"Anadarko, Oklahoma",OK,1892,1933,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Paul Mission and Boarding School,St. Paul Mission Grade School,,"Hays, Montana",MT,1880,2021,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Paul's Indian Mission School,"St. Paul's Mission Boarding, St. Paul's Boarding School, Episcopal Mission School, Marty Indian School*",,"Marty, South Dakota",SD,1893,,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Paul's Industrial School,Clontarf Industrial School,"Morris Industrial School for Indians, Catholic Industrial School of Minnesota","Clontarf, Minnesota",MN,1877,1898,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Peter Mission School,,,"Cascade, Montana",MT,1866,1896,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Regis Seminary,"St. Ferdinand de Florissant, Florissant Mission School, St. Stanislaus Seminary",,"Florissant, Missouri",MO,1818,1971,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
St. Stephen's Mission Industrial School,St. Stephens Indian School,,"St. Stephens, Wyoming",WY,1888,,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Turibius Mission Boarding and Day School,Kelseyville: St. Turibius Boarding School,Sulphur Banks Day School,"Kelseyville, California",CA,1888,1905,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
St. Xavier Mission School,Pretty Eagle Catholic Academy*,,"St Xavier, Montana",MT,1887,,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Standing Rock Agency Boarding School,"Standing Rock Indian Industrial School, Standing Rock Industrial Boarding School, Standing Rock Community School",Standing Rock Day School,"Fort Yates, North Dakota",ND,1877,1951,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Standing Rock Boarding School,"Standing Rock Community School, Tse'ii'ahi' Community School",,"Standing Rock, New Mexico",NM,1935,,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Steamboat Canyon Boarding and Day School,,,"Ganado, Arizona",AZ,1935,1965,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Stewart Indian Boarding School,"Stewart Institute, Carson School, Carson Industrial School",,"Carson City, Nevada",NV,1890,1980,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Teec Nos Pos Boarding School,Teecnospos; Teec Nos Pos Day School; T'iis Nasbas Community School*,,"eec Nos Pos, Arizona",AZ,1933,,BIE Operated,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Theodore Roosevelt Indian Boarding School,"Theodore Roosevelt Boarding School, Fort Apache School, Theodore Roosevelt School",,"Fort Apache, Arizona",AZ,1923,,"Tribally-Controlled, BIE school",Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Thomas Indian School,"Gowanda School, Thomas Asylum of Orphan and Destitute Indian Children",,"Irving, New York",NY,1855,1960,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N
Thoreau Boarding School,,Baca Boarding and Day School,"Thoreau, New Mexico",NM,1934,2006,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Toadlena Boarding School,"Toadlena Day School, Toadlena Hospital, To'haali' Community School*",,"Toadlena, New Mexico",NM,1911,,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tohatchi Boarding and Day School,"Little Water School, Little Water Day School",Chuska/Tohatchi Consolidated School,"Tohatchi, New Mexico",NM,1895,1985,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tolani Lake School,,,"Tolani Lake, Arizona",AZ,1940,1963,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Toledo Industrial Boarding School,"Toledo Sanatorium, Sac & Fox Indian Boarding and Mission School, Sac & Fox Sanatorium, Tama School, Tama Sanatorium",,"Toledo, Iowa",IA,1898,1942,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tomah Indian Industrial School,Tomah VA Medical Center,,"Tomah, Wisconsin",WI,1893,1941,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Tonasket Boarding School,Okanagan Boarding School,,"Tonasket, Washington",WA,1891,1897,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tonawanda Mission School,,,"Tonawanda, New York",NY,1827,1845,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tongue River Boarding School,"Government School at Busby, Busby Indian School",,"Busby, Montana",MT,1904,1970,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Torreon Community School,"Torreon Day School, Torreon School, Na'Neelzhiin Ji'Olta",,"Torreon, New Mexico",NM,1935,,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Toyei Boarding School,"Toyei Navajo Schoo, Greasewood/Toyei Consolidated Boarding School",Greasewood Boarding School,"Toyei, Arizona",AZ,1963,1985,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Trinity College Industrial Indian Boarding School,"Trinity College, Duke University, Trinity College of Liberal Arts and Sciences",,"Durham, North Carolina",NC,1880,1886,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Truxton Canyon School,"Valentine Indian School, Truxton Canyon Boarding School",Hackberry Day School,"Valentine, Arizona",AZ,1901,1937,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tuba City Boarding School,Western Navajo Indian School; Tuba Vocational Boarding and Day School,Blue Canyon School,"Tuba City, AZ",AZ,1903,,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tucson Indian Training School,"Tucson Industrial Boarding School, Tucson Training and Industrial School, Tucson Presbyterian School",,"Tucson, Arizona",AZ,1888,1960,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tulalip Indian Industrial School,"Tulalip Training School, Tulalip Industrial Boarding School, Tulalip Agency",Tulalip Mission School,"Tulalip Bay, Washington",WA,1905,1932,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tulalip Mission School,"St. Anne's Catholic Mission School, Tulalip Mission School of Our Lady of Seven Dolors, Tulalip Boarding School",Tulalip Indian Industrial Boarding School,"Priest's Point, Washington",WA,1857,1902,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tullahassee Boarding School,Tullahassee Mission School; Tullahassee Manual Labor School; Tallahasse Mission Boarding,,"Tullahassee, Oklahoma",OK,1844,1924,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tuskahoma Female Academy,Tuskahoma Institute; Tushkahoma Female Institute; Tushkahoma Female Academy,,"Lyceum, Oklahoma",OK,1892,1925,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Twin Lakes Boarding School,Twin Lakes Elementary School,,"Yah-Ta-Hey, New Mexico",NM,1936,1951,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Uintah Boarding and Day School,"White Rocks Boarding School, Ute Indian Boarding School",,"Whiterocks, Utah",UT,1880,1951,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umatilla Boarding and Day School,,,"Pendleton, Oregon",OR,1883,1918,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Ute Mountain Boarding School,"Ute Mountain Indian School, Ute Mountain Day School, Colorado - Ute Mountain, Ute Mountain 1, Colorado Ute - Ute Mountain",Navajo Springs Day School,"Towaoc, Colorado",CO,1907,1942,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Valley Towns Baptist Mission School,Valley-towns Mission School,,"Valleytown, North Carolina",NC,1827,1836,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Vermillion Lake Indian School,Lake Vermillion Boarding School,,"Tower, Minnesota",MN,1899,1954,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Wahpeton Indian School,"Wahpeton School, Wahpeton Indian School, Circle of Nations",,"Wahpeton, North Dakota",ND,1908,,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Wapanucka Institute,"Wapanucka Academy, Allen Academy, Wahpanucka Institute, Chickasaw Rock Academy, Wapanucka Female Manual Labour School",,"Bromide, Oklahoma",OK,1851,1911,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Warm Springs Boarding and Day School,,,"Warm Springs, Oregon",OR,1884,1951,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Wealaka Boarding School,,,"Leonard, Oklahoma",OK,1882,1935,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Western Shoshone Boarding School,Western Shoshoni School,,"Owyhee, Nevada",NV,1881,1917,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Wetumka Boarding School,"Creek National Boarding School, Levering Manual Labor Boarding",,"Wetumka, Oklahoma",OK,1881,1911,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Wewoka Mission School,Ramsey Mission School,Mekusukey Academy,"Wewoka, Oklahoma",OK,1868,1889,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Wheelock Academy,"Wheelock Female Academy, Wheelock Orphan Academy, Wheelock Female Indian Academy, Wheelock Orphan School (Boys and Girls)",,"Millerton, Oklahoma",OK,1842,1955,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
White Earth Boarding School,"St. Benedict's Mission, St. Benedict's Orphanage",,"White Earth, Minnesota",MN,1871,1919,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
White Horse Lake Boarding School,"White Horse, Whitehorse Lake",,"Cuba, New Mexico",NM,1935,1970,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
"White Manual Labor Institute, Indiana",White's Indiana Manual Labor Institute,,"Wabash, Indiana",IN,1850,1896,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
White Mountain Boarding School,White Mountain Industrial School,,"White Mountain, Alaska",AK,1917,1953,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
White's Manual Labor Institute - Iowa,"Iowa Boys Training School, Iowa Girls Training School, Indian Boarding School, Home and School for Boys and Girls",West Branch Indian Training School,"Houghton, Iowa",IA,1851,1929,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
Wide Ruins Boarding School,"Kinteel Olta', Wide Ruins Community School*",,"Wide Ruin, Arizona",AZ,1935,,"Tribally-Controlled, BIE school",Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Wild Rice River Boarding and Day School,Rice River Boarding and Day School,,"Beaulieu, Minnesota",MN,1884,1915,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
William E. Beltz Boarding School,Nome Beltz,,"Nome, Alaska",AK,1966,1973,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Willow Creek Boarding School,Old Willow Creek Indian School,,"Browning, Montana",MT,1892,1893,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Wind River Boarding School,"Wind River Industrial Boarding School, Fort Washakie Boarding School, Shoshone Agency Boarding School, Gravy High, Fort Washakie School District #21",Shoshone-Episcopal Mission Boarding School,"Fort Washakie, Wyoming",WY,1883,1955,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Winnebago Boarding,,,"Winnebago, Nebraska",NE,1873,1891,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Winnebago Mission School,Yellow River School,,"Allamakee County, Iowa",IA,1835,1840,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Wittenberg Indian School,"Bethany Indian Mission and Industrial School, Eland Junction, Wittenberg Academy",Bethany Mission School - Ingersoll,"Wittenberg, Wisconsin",WI,1883,1955,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
Wolf Point Mission Boarding and Day School,Wolf Point Day School,,"Wolf Point, Montana",MT,1900,1928,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Woody Island Mission and Orphanage,Longwood School,Longwood School,"Aleksashkina, Alaska",AK,1893,1939,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
Longwood School,Woody Island Mission and Orphanage,Woody Island Mission and Orphanage,"Kodiak, Alaska",AK,1937,1939,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
Wrangell Institute,Shoemaker Bay Industrial School,,"Wrangell, Alaska",AK,1932,1975,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yainax Indian Boarding School,"Yainax Indian Boarding School for Girls, Yainax Industrial and Day School, Yainax Training School",,"Beatty, Oregon",OR,1882,1916,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yankton Industrial Boarding School,Yankton Agency Boarding School,,"Charles Mix County, South Dakota",SD,1882,1920,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Zoar Mission Boarding School,Menominee (Zoar Mission) School,,"Green Bay Reservation, Wisconsin",WI,1904,1908,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Zuni Boarding School,"Zuni Training School, Zuni Indian School, Zuni Sanatorium, Blackrock Sanatorium School",,"Blackrock, New Mexico",NM,1898,1940,N,Y,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
