Index,Acreage_data Page,Pop_data Page,STATE/SUPERINTENDENCY,TRIBE,AGENCY,RESERVATION,YEAR,POPULATION,ACREAGE,SCHOOL,N_STUDENTS,DAY Y/N/B,BOARDING_N_ACC,DAY_N_ACC,STUDENTS_ENROLL,AVG_ATTENDANCE,N_MISSIONARIES,ARCHIVE NOTES,,
11318,,,South Dakota,,Pine Ridge Agency,,1896,NA,NA,No. 25 day ,,Y,40,,32,28,,,,
11319,,530,South Dakota,,Rosebud Agency,,1896,NA,3228160 (a),,,,,,,,49,,,
11320,,530,South Dakota,"Brule, Loafer, Waziaziah, Two Kettle, and Northern Siox Agency District",Rosebud Agency,,1896,1173,Agency,,,,,,,,,,,
11321,,530,South Dakota,Cutmeat Creek ,Rosebud Agency,,1896,936,Agency,,,,,,,,,,,
11322,,530,South Dakota,Black Pipe Creek,Rosebud Agency,,1896,445,Agency,,,,,,,,,,,
11323,,530,South Dakota,Little White River,Rosebud Agency,,1896,588,Agency,,,,,,,,,,,
11324,,530,South Dakota,Butte Creek ,Rosebud Agency,,1896,863,Agency,,,,,,,,,,,
11325,,530,South Dakota,Ponca Creek,Rosebud Agency,,1896,371,Agency,,,,,,,,,,,
11326,,,South Dakota,,Rosebud Agency,,1896,NA,NA,St. Francis Mission Boarding,,N,180,,174,169,,,,
11327,,,South Dakota,,Rosebud Agency,,1896,NA,NA,St. Mary's Mission Boarding,,N,45,,54,48,,,,
11328,,,South Dakota,,Rosebud Agency,,1896,NA,NA,Agency Day ,,Y,,40,36,28,,,,
11329,,,South Dakota,,Rosebud Agency,,1896,NA,NA,Big Oak Day ,,Y,,36,39,34,,,,
11330,,,South Dakota,,Rosebud Agency,,1896,NA,NA,Black Pipe Day ,,Y,,34,30,28,,,,
11331,,,South Dakota,,Rosebud Agency,,1896,NA,NA,Butte Creek Day ,,Y,,25,29,25,,,,
11332,,,South Dakota,,Rosebud Agency,,1896,NA,NA,Corn Creek Day ,,Y,,34,33,29,,,,
11333,,,South Dakota,,Rosebud Agency,,1896,NA,NA,Cut Meat Creek Day ,,Y,,45,50,43,,,,
11334,,,South Dakota,,Rosebud Agency,,1896,NA,NA,He Dog's Camp Day ,,Y,,33,32,29,,,,
11335,,,South Dakota,,Rosebud Agency,,1896,NA,NA,Iron Wood Creek Day ,,Y,,50,44,39,,,,
11336,,,South Dakota,,Rosebud Agency,,1896,NA,NA,Little White River Day ,,Y,,34,34,29,,,,
11337,,,South Dakota,,Rosebud Agency,,1896,NA,NA,Little Crow's Camp Day ,,Y,,25,19,14,,,,
11338,,,South Dakota,,,,1896,NA,NA,Lower Cut Meat Creek Day ,,Y,,38,40,37,,,,
11339,,,South Dakota,,,,1896,NA,NA,Milk's Camp Day ,,Y,,35,38,30,,,,
11340,,,South Dakota,,,,1896,NA,NA,Pine Creek Day ,,Y,,36,31,25,,,,
11341,,,South Dakota,,,,1896,NA,NA,Ponca Creek Day ,,Y,,25,23,19,,,,
11342,,,South Dakota,,,,1896,NA,NA,Red Leaf Camp Day ,,Y,,30,32,27,,,,
11343,,,South Dakota,,,,1896,NA,NA,Ring Thunder Day ,,Y,,30,27,22,,,,
11344,,,South Dakota,,,,1896,NA,NA,Upper Pine Creek Day ,,Y,,26,26,24,,,,
11345,,,South Dakota,,,,1896,NA,NA,Upper Cut Meat Creek Day ,,Y,,50,55,48,,,,
11346,,,South Dakota,,,,1896,NA,NA,White Thunder Creek Day ,,Y,,26,24,20,,,,
11347,,,South Dakota,,,,1896,NA,NA,Whirlwind Day,,Y,,30,30,27,,,,
11348,,,South Dakota,,,,1896,NA,NA,Spring Creek Day ,,Y,,40,42,36,,,,
11349,,532,South Dakota,Sisseton and Wahpeton Sioux,Sisseton Agency,,1896,1867,NA,Sisseton Industrial Boarding,,N,130,,136,101,14,,,
11350,,,South Dakota,,Sisseton Agency,,1896,NA,NA,Good Will Mission Boarding,,N,150,,84,61,,,,
11351,,532,South Dakota,Yankton Sioux,Yankton Agency,,1896,1757,NA,Yankton Boarding,,N,160,,143,115,6,,,
11352,,,South Dakota,,Yankton Agency,,1896,NA,NA,St. Paul's Boarding,,N,50,,52,45,,,,
11353,,,South Dakota,,,Flandreau ,1896,NA,NA,Flandreau Training,,N,175,,171,150,,,,
11354,,,South Dakota,,,Pierre,1896,NA,NA,Pierre Training,,N,150,,140,129,,,,
11355,,,South Dakota,"Blackfeet, Minnekonjo, Sans Arc, and Two Kettle Sioux",Forest City ,Cheyenne River,1896,NA,2867840 (a),,,,,,,,,"Formerly, Cheyenne River Agency",,
11356,,532,Texas,"Alabama, Cushatta, and Muskogee",No agent,,1896,290,,,,,,,,,,,,
11357,,532,Utah,,Uintah and Ouray Agency,,1896,,,,,,,,,,,,,
11358,,532,Utah,Uintah Ute and Uintah,Uintah and Ouray Agency,,1896,443,2039040 (a),,,,,,,,,,,
11359,,532,Utah,White River Ute at Uintah ,Uintah and Ouray Agency,,1896,379,,,,,,,,,,,,
11360,,532,Utah,Uncompahgre Ute at Ouray,Uintah and Ouray Agency,,1896,880,1933440 (a),,,,,,,,,,,
11361,,532,Utah,White River Ute at Ouray,Uintah and Ouray Agency,,1896,29,,,,,,,,,1,,,
11362,,,Utah,,Uintah and Ouray Agency,,1896,NA,NA,Uintah Boarding,,N,90,,114,84,,,,
11363,,,Utah,,Uintah and Ouray Agency,,1896,NA,NA,Ouray Boarding,,N,80,,48,44,,,,
11364,,,Utah,,,Box Elder County ,1896,NA,NA,Box Elder County Public Day District No. 12,,Y,,NA,27,17,,,,
11365,,,Virginia,,,Hampton ,1896,NA,NA,Hampton Normal and Agricultural Institute,,N,150,,134,117,,,,
11366,,532,Washington,,Colville Agency,,1896,,,,,,,,,,,,,
11367,,532,Washington,Colville,Colville Agency,,1896,269,2800000 (a),,,,,,,,1,,,
11368,,532,Washington,Coeur d'Alene,Colville Agency,,1896,488,,,,,,,,,,,,
11369,,532,Washington,Upper and Middle Spokane on Coeur d'Alene Reserve,Colville Agency,,1896,145,,,,,,,,,,,,
11370,,532,Washington,Lake ,Colville Agency,,1896,284,,,,,,,,,1,,,
11371,,532,Washington,Lower Spokane,Colville Agency,,1896,332,,,,,,,,,2,,,
11372,,532,Washington,Upper and Middle Spokane on Spokane Reserve,Colville Agency,,1896,190,,,,,,,,,2,,,
11373,,532,Washington,Columbia (Moses band),Colville Agency,,1896,316,24220 (a),,,,,,,,,,,
11374,,532,Washington,Okanogan,Colville Agency,,1896,528,,,,,,,,,1,,,
11375,,532,Washington,Nez Perce (Joseph's band),Colville Agency,,1896,152,,,,,,,,,,,,
11376,,532,Washington,Nespelim and San Puell,Colville Agency,,1896,312,,,,,,,,,,,,
11377,,,Washington,Spokane,Colville Agency,Spokane,1896,NA,153600 (a),,,,,,,,,,,
11378,,,Idaho ,"Coeur d'Alene, Kootenay (Kitunahan, Pend d'Oreille, and Spokane",Colville Agency,,1896,NA,404480 (a),,,,,,,,,,,
11379,,,Washington,,Colville Agency,,1896,NA,NA,Colville Boarding,,N,150,,86,70,,,,
11380,,,Washington,,Colville Agency,,1896,NA,NA,Coeur d'Alene Boarding,,N,300,,75,66,,,,
11381,,,Washington,,Colville Agency,,1896,NA,NA,Tonasket Boarding,,N,90,,90,73,,,,
11382,,,Washington,,Colville Agency,,1896,NA,NA,No. 1 day ,,Y,,42,33,16,,,,
11383,,,Washington,,Colville Agency,,1896,NA,NA,No. 2 day ,,Y,,50,22,6,,,,
11384,,532,Washington,,Neah Bay Agency,,1896,,,Neah Bay Boarding,,N,75,,59,48,,,,
11385,,532,Washington,Makah,Neah Bay Agency,,1896,344,23040 (a),,,,,,,,,,,
11386,,532,Washington,Makah at Ozette,Neah Bay Agency,,1896,61,,,,,,,,,,,,
11387,,532,Washington,Quillehute,Neah Bay Agency,,1896,237,837 (a),,,,,,,,,,,
11388,,532,Washington,Hoh,Neah Bay Agency,,1896,81,640 (a),,,,,,,,,,,
11389,,,Washington,,Neah Bay Agency,,1896,NA,NA,Quillehute Day ,,Y,,60,50,31,,,,
11390,,532,Washington,,Under School Superintendent,,1896,,,,,,,,,,,Formerly Puyallup Agency,,
11391,,532,Washington,Puyallup,Under School Superintendent,,1896,513,471 (a),Puyallup Boarding,,N,150,,260,195,2,,,
11392,,532,Washington,Chehalis,Under School Superintendent,,1896,153,,Chehalis Boarding,,N,60,,79,63,1,,,
11393,,532,Washington,Nisqually,Under School Superintendent,,1896,115,NA,,,,,,,,1,,,
11394,,532,Washington,Squaxin,Under School Superintendent,,1896,117,,,,,,,,,1,,,
11395,,532,Washington,S'Klallam ,Under School Superintendent,,1896,331,,,,,,,,,1,,,
11396,,532,Washington,S'Kokomish ,Under School Superintendent,,1896,215,276 (a),S'Kokomish Boarding,,N,60,,58,52,1,,,
11397,,532,Washington,Quinaielt,Under School Superintendent,,1896,118,224000 (a),Quinault Boarding,,N,40,,32,28,,,,
11398,,532,Washington,Queet,Under School Superintendent,,1896,61,,,,,,,,,,,,
11399,,532,Washington,Georgetown,Under School Superintendent,,1896,34,,,,,,,,,,,,
11400,,532,Washington,Humptulip,Under School Superintendent,,1896,6,,,,,,,,,,,,
11401,,532,Washington,Oyhut,Under School Superintendent,,1896,4,,,,,,,,,,,,
11402,,,Washington,"Muckleshoot, Nisqualli, Puyallup, Skwawksnamish, Stailakoom, and five others",Under School Superintendent,,1896,NA,599 (a),,,,,,,,,,,
11403,,,Washington,Shoalwater and Tsihalis,Under School Superintendent,Shoalwater,1896,NA,335 (a),,,,,,,,,,,
11404,,,Washington,,Under School Superintendent,,1896,NA,NA,Jamestown Day ,,Y,,30,29,24,,,,
11405,,,Washington,,Under School Superintendent,,1896,NA,NA,Port Gamble Day ,,Y,,25,24,18,,,,
11406,,,Washington,,Under School Superintendent,,1896,NA,NA,St. George's Industrial Boarding,,N,90,,80,70,,,,
11407,,534,Washington,,Tulalip Agency,,1896,,,,,,,,,,,,,
11408,,534,Washington,Tulalip,Tulalip Agency,,1896,456,8930 (a),Tulalip Boarding,,N,150,,106,94,1,,,
11409,,534,Washington,Madison,Tulalip Agency,,1896,153,2015 (a),,,,,,,,1,,,
11410,,534,Washington,Muckleshoot,Tulalip Agency,,1896,156,3367 (a),,,,,,,,6,,,
11411,,534,Washington,Swinomish,Tulalip Agency,,1896,309,1710 (a),,,,,,,,1,,,
11412,,534,Washington,Lummi,Tulalip Agency,,1896,346,1884 (a),Lummi Day ,,Y, ,40,50,34,1,,,
11413,,534,Washington,"Yakima, Klickitat, Wasco, and others",Yakima Agency,,1896,1821,800000 (a),Yakima Boarding,,N,125,,142,125,2,,,
11414,,534,Washington,Wild Yakimas,Yakima Agency,,1896,190,,,,,,,,,,,,
11415,,,Washington,,Yakima Agency,,1896,NA,NA,Toppinish Day ,,Y,,30,30,20,,,,
11416,,,Washington,,,North Yakima,1896,NA,NA,St. Francis Xavier's Boarding,,N,90,,45,38,,,,
11417,,,Washington,,,Stevens County ,1896,NA,NA,"Public Day, District No. 7",,Y,,NA,NA,NA,,students: No report received from this school. ,,
11418,,,Washington,,,Stevens County ,1896,NA,NA,"Public Day, District No. 57",,Y,,NA,4,4,,,,
11419,,,Washington,,,Skagit County ,1896,NA,NA,"Public Day, District No. 52",,Y,,NA,12,12,,,,
11420,,,Washington,,,Skagit County ,1896,NA,NA,"Public Day, District No. 53",,Y,,NA,1,1,,,,
11421,,,Washington,,,Yakima County ,1896,NA,NA,"Public Day, District No. 32",,Y,,NA,3,2,,,,
11422,,,Washington,,,Lewis County ,1896,NA,NA,"Public Day, District No. 51",,Y,,NA,NA,NA,,,,
11423,,,Washington,,,King County ,1896,NA,NA,"Public Day, Distrcit No. 87",,Y,,NA,5,4,,,,
11424,,534,Washington,Nooksack,No agent,,1896,200,,,,,,,,,,pop: taken from report of last year. ,,
11425,,,Washington,Osette,No agent,Osette,1896,NA,640 (a),,,,,,,,,,,
11426,,534,Wisconsin,,Green Bay Agency,,1896,,,,,,,,,,,,,
11427,,534,Wisconsin,Oneida,Green Bay Agency,,1896,1847,NA,,,,,,,,2,,,
11428,,534,Wisconsin,Menomonee,Green Bay Agency,,1896,1323,231680 (a),Menomonee Boarding,,N,150,,170,149,1,,,
11429,,534,Wisconsin,Stockbridge and Munsee,Green Bay Agency,,1896,503,11803,Stockbridge Day ,,Y,,40,36,12,,,,
11430,,,Wisconsin,,Green Bay Agency,,1896,NA,NA,St. Joseph's Boarding,,N,170,,138,122,,,,
11431,,,Wisconsin,,Green Bay Agency,Oneida Reservation ,1896,NA,NA,Oneida Boarding,,N,110,,117,107,,,,
11432,,,Wisconsin,,Green Bay Agency,Oneida Reservation ,1896,NA,NA,Oneida Day No. 1,,Y,,40,32,17,,,,
11433,,,Wisconsin,,Green Bay Agency,Oneida Reservation ,1896,NA,NA,Oneida Day No. 2,,Y,,40,28,15,,,,
11434,,,Wisconsin,,Green Bay Agency,Oneida Reservation ,1896,NA,NA,Oneida Day No. 3,,Y,,35,36,21,,,,
11435,,,Wisconsin,,Green Bay Agency,Oneida Reservation ,1896,NA,NA,Oneida Day No. 4,,Y,,25,27,15,,,,
11436,,,Wisconsin,,Green Bay Agency,Oneida Reservation ,1896,NA,NA,Oneida Day No. 5,,Y,,20,30,16,,,,
11437,,534,Wisconsin,,La Pointe Agency,,1896,,,,,,,,,,,,,
11438,,534,Wisconsin,Chippewa at Red Cliff,La Pointe Agency,,1896,195,11457 (a),,,,,,,,1,,,
11439,,534,Wisconsin,Chippewa at Bad River,La Pointe Agency,,1896,644,,,,,,,,,2,,,
11440,,534,Wisconsin,Chippewa at Lac Court d'Oreilles,La Pointe Agency,,1896,1151,21389 (a),,,,,,,,1,,,
11441,,534,Wisconsin,Chippewa at Lac du Flambeau,La Pointe Agency,,1896,785,94640 (a),,,,,,,,1,,,
11442,,534,Wisconsin,"Chippewa at Fond du Lac, Minn",La Pointe Agency,,1896,768,,,,,,,,,,,,
11443,,534,Wisconsin,"Chippewa at Grand Portage, Minn",La Pointe Agency,,1896,313,,,,,,,,,1,,,
11444,,534,Wisconsin,"Chippewa at Boise Fort, Minn",La Pointe Agency,,1896,759,,,,,,,,,1,,,
11445,,,Minnesota,Boise for band of Chippewas,La Pointe Agency,Boise Forte,1896,NA,107509 (a),,,,,,,,,"acres: These lands have been ceded by the Indians to the Government, but are not yet open to sale or settlement. ",,
11446,,,Minnesota,Boise for band of Chippewas,La Pointe Agency,Deer Creek ,1896,NA,23040 (a),,,,,,,,,"acres: These lands have been ceded by the Indians to the Government, but are not yet open to sale or settlement. ",,
11447,,,Minnesota,Fond du Lac band of Chippewas of Lake Superior ,La Pointe Agency,Fond du Lac,1896,NA,NA,,,,,,,,,,,
11448,,,Minnesota,Grand Portage band of Chippewas of Lake Superior ,La Pointe Agency,Grand Portage (Pigeon River),1896,NA,NA,,,,,,,,,,,
11449,,,Minnesota,Boise Fort band of Chippewas,La Pointe Agency,Vermillion Lake ,1896,NA,1080 (a),,,,,,,,,acres: In Minnesota and Wisconsin,,
11450,,,Minnesota,,La Pointe Agency,,1896,NA,NA,Bayfield Boarding,,N,50,,34,31,,,,
11451,,,Minnesota,,La Pointe Agency,,1896,NA,NA,"St. Mary's Boarding, Bad River Reservation ",,N,100,,83,78,,,,
11452,,,Minnesota,,La Pointe Agency,,1896,NA,NA,Bayfield Day,,Y,,150,45,35,,,,
11453,,,Minnesota,,La Pointe Agency,,1896,NA,NA,Lac Court d'Oreilles Day ,,Y,,80,86,56,,,,
11454,,,Minnesota,,La Pointe Agency,,1896,NA,NA,Bad River Day (St. Mary's),,Y,,100,49,36,,,,
11455,,,Minnesota,,La Pointe Agency,,1896,NA,NA,Red Cliff Day ,,Y,,50,45,32,,,,
11456,,,Minnesota,,La Pointe Agency,,1896,NA,NA,Lac du Flambeau Boarding,,N,160,,103,77,,,,
11457,,,Minnesota,,La Pointe Agency,,1896,NA,NA,Fond du Lac Day,,Y,,30,39,16,,,,
11458,,,Minnesota,,La Pointe Agency,,1896,NA,NA,Lac Court d'Oreilles Day ,,Y,,36,28,10,,,,
11459,,,Minnesota,,La Pointe Agency,,1896,NA,NA,"Lac Court d'Oreilles Day, No. 2",,Y,,36,34,19,,,,
11460,,,Minnesota,,La Pointe Agency,,1896,NA,NA,Normantown Day ,,Y,,30,17,11,,,,
11461,,,Minnesota,,La Pointe Agency,,1896,NA,NA,Pahquayahwong Day ,,Y,,25,43,22,,,,
11462,,,Minnesota,,La Pointe Agency,,1896,NA,NA,Grand Portage Day ,,Y,,35,20,9,,,,
11463,,,Minnesota,,La Pointe Agency,,1896,NA,NA,Nett Lake Day ,,Y,,30,35,27,,,,
11464,,,Minnesota,,La Pointe Agency,,1896,NA,NA,Vermillion Lake Day ,,Y,,40,60,16,,,,
11465,,,Minnesota,,,Wittenberg,1896,NA,NA,Wittenberg Boarding,,N,140,,126,97,,,,
11466,,,Minnesota,,,Tomah ,1896,NA,NA,Tomah Training ,,N,125,,132,90,,,,
11467,,534,Wisconsin,Winnebago,No agent,,1896,1447,,,,,,,,,,pop: taken from report of last year. ,,
11468,,534,Wisconsin,Pottawatomie,No agent,,1896,280,,,,,,,,,,pop: taken from report of last year. ,,
11469,,534,Wyoming,,Shoshone Agency,,1896,NA,1810000 (a),,,,,,,,1,,,
11470,,534,Wyoming,Shoshone (or Snake),Shoshone Agency,,1896,890,Agency ,,,,,,,,,,,
11471,,534,Wyoming,Northern Arapaho ,Shoshone Agency,,1896,856,Agency ,,,,,,,,,,,
11472,,,Wyoming,,Shoshone Agency,,1896,NA,NA,Wind River Boarding,,N,165,,169,146,,,,
11473,,,Wyoming,,Shoshone Agency,,1896,NA,NA,St. Stephen's Mission Boarding,,N,125,,89,81,,,,
11474,,,Wyoming,,Shoshone Agency,,1896,NA,NA,Shoshone Mission Boarding,,N,25,,25,20,,,,
11475,,534,Indiana,Miami,No agent,,1896,439,,,,,,,,,,pop: By census taken in September 1895,,
11476,,534,Maine,Old Town Indians in Maine,No agent,,1896,410,,,,,,,,,,pop: taken from report of last year. ,,
11477,430,482,Arizona,,Colorado River Agency,,1897,NA,240640 (a),Colorado River Boarding,,N,80,,82,81,,,,
11478,,482,Arizona,Mohave,Colorado River Agency,,1897,671,,,,,,,,,1,,,
11479,,482,Arizona,Mohave at Needles,Colorado River Agency,,1897,700,,,,,,,,,,,,
11480,,482,Arizona,Mohave at Fort Mohave,Colorado River Agency,,1897,1000,,,,,,,,,,,,
11481,,482,Arizona,Chimehuevi,Colorado River Agency,,1897,300,,,,,,,,,,,,
11482,,,Arizona,,,Moqui Reservation ,1897,NA,NA,Keam's Canyon Boarding,,N,90,,99,82,,,,
11483,,,Arizona,,,Moqui Reservation ,1897,NA,NA,Oreiba Day ,,Y,,40,44,30,,,,
11484,,,Arizona,,,Moqui Reservation ,1897,NA,NA,Polacco Day ,,Y,,50,46,29,,,,
11485,,,Arizona,,,Moqui Reservation ,1897,NA,NA,Second Mesa Day ,,Y,,40,41,31,,,,
11486,,,Arizona,,,Hualapai Reservation ,1897,NA,NA,"Hualapai Day, Hackberry",,Y,,40,50,37,,,,
11487,,,Arizona,,,Hualapai Reservation ,1897,NA,NA,"Hualapai Day, Kingman",,Y,,60,66,46,,,,
11488,,,Arizona,,,Hualapai Reservation ,1897,NA,NA,Suppai Reservation Day ,,Y,,60,60,46,,,,
11489,,,Arizona,,,Fort Mojave,1897,NA,NA,Fort Mojave Training,,N,150,,167,156,,,,
11490,,482,Arizona,,Under Industrial Teacher,,1897,NA,NA,,,,,,,,,,,
11491,430,482,Arizona,Hualapai,Under Industrial Teacher,,1897,631,730880 (a),,,,,,,,,,,
11492,430,482,Arizona,Yava Suppai ,Under Industrial Teacher,,1897,260,38400 (a),,,,,,,,,,,
11493,430,482,Arizona,,Navajo Agency,,1897,NA,NA,,,,,,,,,,,
11494,430,482,Arizona,Navajo ,Navajo Agency,,1897,20500,7698560 (a),,,,,,,,4,acres: Partly in Mexico and Utah,,
11495,430,482,Arizona,Moquis Pueblo,Navajo Agency,,1897,2641,2472320 (a),,,,,,,,3,,,
11496,,,Arizona,,Navajo Agency,,1897,NA,NA,Navajo Boarding,,N,120,,91,73,,,,
11497,,,Arizona,,Navajo Agency,,1897,NA,NA,Little Water Day ,,Y,,30,29,22,,,,
11498,,,Arizona,,Navajo Agency,,1897,NA,NA,Phoenix Training,,N,275,,369,332,,,,
11499,,482,Arizona,,Pima Agency,,1897,NA,NA,Pima Boarding,,N,150,,156,147,7,,,
11500,,482,Arizona,Pima ,Pima Agency,,1897,4260,,,,,,,,,Agency,,,
11501,,482,Arizona,Maricopa,Pima Agency,,1897,340,,,,,,,,,Agency,,,
11502,,482,Arizona,Papago,Pima Agency,,1897,693,,,,,,,,,Agency,,,
11503,,482,Arizona,Papago at San Xavier,Pima Agency,,1897,531,,,,,,,,,2,,,
11504,,482,Arizona,Papago (Nomadic),Pima Agency,,1897,2046,,,,,,,,,NA,,,
11505,430,,Arizona,Papago,Pima Agency,Gila Bend,1897,NA,22391 (a),,,,,,,,,,,
11506,430,,Arizona,Maricopa and Pima ,Pima Agency,Gila River,1897,NA,357120 (a),,,,,,,,,,,
11507,430,,Arizona,Papago ,Pima Agency,Papago ,1897,NA,27566 (a),,,,,,,,,,,
11508,430,,Arizona,Maricopa and Pima ,Pima Agency,Salt River,1897,NA,46720 (a),,,,,,,,,,,
11509,,,Arizona,,Pima Agency,,1897,NA,NA,San Xavier Day,,Y,,110,73,68,,,,
11510,430,482,Arizona,,San Carlos Agency,,1897,NA,2464000 (a),,,,,,,,2,,,
11511,,482,Arizona,Coyotero Apache,San Carlos Agency,,1897,647,,,,,,,,,,,,
11512,,482,Arizona,San Carlos Apache,San Carlos Agency,,1897,1288,,,,,,,,,,,,
11513,,482,Arizona,Mohave,San Carlos Agency,,1897,526,,,,,,,,,,,,
11514,,482,Arizona,Tonto Apache,San Carlos Agency,,1897,863,,,,,,,,,,,,
11515,,482,Arizona,Yuma,San Carlos Agency,,1897,42,,,,,,,,,,,,
11516,,482,Arizona,White Mountain Apache,San Carlos Agency,,1897,1824,,,,,,,,,,,,
11517,,,Arizona,,San Carlos Agency,,1897,NA,NA,San Carlos Boarding,,N,100,,116,111,,,,
11518,,,Arizona,,San Carlos Agency,,1897,NA,NA,Fort Apache Boarding,,N,65,,74,57,,,,
11519,,,Arizona,,San Carlos Agency,,1897,NA,NA,Lutheran Mission Day ,,Y,,30,14,12,,,,
11520,,,California,,,Fort Yuma,1897,NA,NA,Yuma Boarding,,N,250,,173,153,,,,
11521,430,482,California,,Hoopa Valley Agency,,1897,NA,118433 (a),Hoopa Valley Boarding,,N,200,,171,138,,,,
11522,,482,California,Hoopa,Hoopa Valley Agency,,1897,505,,,,,,,,,2,,,
11523,,482,California,Klamath,Hoopa Valley Agency,,1897,673,,,,,,,,,,pop: taken from report of last year. ,,
11524,,482,California,,Mission Tule River Agency ,,1897,,,,,,,,,,,,,
11525,430,482,California,Yuma,Mission Tule River Agency ,,1897,707,45889 (a),,,,,,,,,,,
11526,430,482,California,Tule River,Mission Tule River Agency ,,1897,175,48551 (a),,,,,,,,,,,
11527,430,482,California,Mission ,Mission Tule River Agency ,,1897,2966,180623 (a),,,,,,,,2,,,
11528,,,California,,Mission Tule River Agency ,,1897,NA,NA,Agua Caliente Day ,,Y,,28,19,14,,,,
11529,,,California,,Mission Tule River Agency ,,1897,NA,NA,Capitan Grande Day ,,Y,,30,26,23,,,,
11530,,,California,,Mission Tule River Agency ,,1897,NA,NA,Coahuila Day ,,Y,,32,27,20,,,,
11531,,,California,,Mission Tule River Agency ,,1897,NA,NA,La Jolla Day ,,Y,,34,35,19,,,,
11532,,,California,,Mission Tule River Agency ,,1897,NA,NA,Martinez Day ,,Y,,28,22,14,,,,
11533,,,California,,Mission Tule River Agency ,,1897,NA,NA,Mesa Grande Day ,,Y,,24,28,15,,,,
11534,,,California,,Mission Tule River Agency ,,1897,NA,NA,Pachanga Day ,,Y,,32,24,18,,,,
11535,,,California,,Mission Tule River Agency ,,1897,NA,NA,Potrero Day ,,Y,,28,29,21,,,,
11536,,,California,,Mission Tule River Agency ,,1897,NA,NA,Rincon Day ,,Y,,25,34,27,,,,
11537,,,California,,Mission Tule River Agency ,,1897,NA,NA,San Jacinto Day ,,Y,,32,37,26,,,,
11538,,,California,,Mission Tule River Agency ,,1897,NA,NA,Tule River Day ,,Y,,34,25,14,,,,
11539,,,California,,,Perris,1897,NA,NA,Perris Training,,N,100,,157,142,,,,
11540,,,California,,,Greenville,1897,NA,NA,Greenville Boarding,,N,50,,58,40,,,,
11541,,,California,,,Santa Barbara County ,1897,NA,NA,"Public Day, College District",,Y,,NA,9,6,,,,
11542,,,California,,,San Diego County ,1897,NA,NA,"Public Day, Helm District",,Y,,NA,15,6,,,,
11543,,,California,,, ,1897,NA,NA,Big Pine Day ,,Y,,35,28,22,,,,
11544,,,California,,,,1897,NA,NA,Bishop Day ,,Y,,50,56,40,,,,
11545,,,California,,,,1897,NA,NA,Hat Creek Day ,,Y,,40,20,17,,,,
11546,,,California,,,,1897,NA,NA,Manchester Day ,,Y,,40,20,10,,,,
11547,,,California,,,,1897,NA,NA,Potter Valley Day ,,Y,,50,33,29,,,,
11548,,,California,,,,1897,NA,NA,Ukiah Day ,,Y,,30,29,18,,,,
11549,,,California,,,,1897,NA,NA,Upper Lake Day ,,Y,,30,24,16,,,,
11550,430,482,California,,Round Valley Agency,,1897,,32442 (a),Round Valley Boarding,,N,70,,73,44,2,,,
11551,,482,California,Concow,Round Valley Agency,,1897,162,,,,,,,,,Agency,,,
11552,,482,California,Little Lake and Redwood,Round Valley Agency,,1897,136,,,,,,,,,Agency,,,
11553,,482,California,Ukie and Wylackie,Round Valley Agency,,1897,283,,,,,,,,,Agency,,,
11554,,482,California,Pitt River and Nome Lackie,Round Valley Agency,,1897,63,,,,,,,,,Agency,,,
11555,,,California,,,San Diego ,1897,NA,NA,San Diego Industrial Training,,N,150,,77,77,,,,
11556,,,California,,,Banning,1897,NA,NA,St. Boniface's Training,,N,150,,119,106,,,,
11557,,,California,,,,1897,NA,NA,Hopland Day ,,Y,,50,20,13,,,,
11558,,,California,,,,1897,NA,NA,Pinole Day ,,Y,,40,18,13,,,,
11559,,,California,,,,1897,NA,NA,St Turibius Boarding,,N,40,,20,15,,,,
11560,,482,California,"Wichumni, Kaweah, and others",Indians in California not under an agent,,1897,6995,,,,,,,,,,pop: taken from report of last year. ,,
11561,430,482,Colorado,,Southern Ute Agency,,1897,NA,1021230 (a),,,,,,,,1,,,
11562,,482,Colorado,"Muache, Capote, and Wiminuche Ute (allotted)",Southern Ute Agency,,1897,420,,,,,,,,,,,,
11563,,482,Colorado,"Muache, Capote, and Wiminuche Ute (unallotted)",Southern Ute Agency,,1897,717,,,,,,,,,,,,
11564,,,Colorado,,,Grand Junction ,1897,NA,NA,Grand Junction Training,,N,170,,170,150,,,,
11565,,,Colorado,,,Fort Lewis,1897,NA,NA,Fort Lewis Training,,N,300,,300,196,,,,
11566,,484,Florida,Seminole,Under Industrial Teacher,,1897,565,,,,,,,,,3,,,
11567,,484,Idaho,,Fort Hall Agency,,1897,,,Fort Hall Boarding,,N,150,,129,92,1,,,
11568,,484,Idaho,Bannock,Fort Hall Agency,,1897,432,,,,,,,,,,,,
11569,,484,Idaho,Shoshone,Fort Hall Agency,,1897,1076,,,,,,,,,,,,
11570,,,Idaho,Boise and Bruneau Bannock (Paniti) and Shoshoni,Fort Hall Agency,,1897,NA,86400 (a),,,,,,,,,,,
11571,432,484,Idaho,,Lemhi Agency,,1897,,64000 (a),Lemhi Boarding,,N,40,,28,25,,,,
11572,,484,Idaho,Shoshone,Lemhi Agency,,1897,206,,,,,,,,,,,,
11573,,484,Idaho,Sheepeater,Lemhi Agency,,1897,197,,,,,,,,,,,,
