year,STUSPS,ceded_acres,cumulative_ceded,total_acres_2021,prop_ceded
1804,IL,10974086.146715136,20787364.814900275,36088981.28482454,0.5760030922136721
1805,IL,2562215.518747193,23349580.333647467,36088981.28482454,0.6470002616412448
1806,IL,0,23349580.333647467,36088981.28482454,0.6470002616412448
1807,IL,0,23349580.333647467,36088981.28482454,0.6470002616412448
1808,IL,28184.092443183516,23377764.42609065,36088981.28482454,0.6477812227944774
1809,IL,323149.71337822767,23700914.13946888,36088981.28482454,0.656735471484066
1814,IL,0,23700914.13946888,36088981.28482454,0.656735471484066
1816,IL,8203690.930099982,31904605.06956886,36088981.28482454,0.884053911573968
1817,IL,0,31904605.06956886,36088981.28482454,0.884053911573968
1818,IL,16074943.090031018,47979548.15959988,36088981.28482454,1
1819,IL,13445402.417124838,61424950.576724716,36088981.28482454,1
1820,IL,0,61424950.576724716,36088981.28482454,1
1821,IL,0,61424950.576724716,36088981.28482454,1
1823,IL,0,61424950.576724716,36088981.28482454,1
1824,IL,327.76178475877794,61425278.33850948,36088981.28482454,1
1825,IL,400.3490304568044,61425678.687539935,36088981.28482454,1
1826,IL,0,61425678.687539935,36088981.28482454,1
1827,IL,0,61425678.687539935,36088981.28482454,1
1828,IL,0,61425678.687539935,36088981.28482454,1
1829,IL,3202881.438443252,64628560.125983186,36088981.28482454,1
1830,IL,0,64628560.125983186,36088981.28482454,1
1831,IL,0,64628560.125983186,36088981.28482454,1
1832,IL,2434332.786858194,67062892.91284138,36088981.28482454,1
1833,IL,1223548.7055042612,68286441.61834565,36088981.28482454,1
1835,IL,0,68286441.61834565,36088981.28482454,1
1836,IL,0,68286441.61834565,36088981.28482454,1
1837,IL,0,68286441.61834565,36088981.28482454,1
1838,IL,0,68286441.61834565,36088981.28482454,1
1839,IL,0,68286441.61834565,36088981.28482454,1
1842,IL,0,68286441.61834565,36088981.28482454,1
1846,IL,0,68286441.61834565,36088981.28482454,1
1847,IL,0,68286441.61834565,36088981.28482454,1
1848,IL,0,68286441.61834565,36088981.28482454,1
1851,IL,0,68286441.61834565,36088981.28482454,1
1852,IL,0,68286441.61834565,36088981.28482454,1
1853,IL,0,68286441.61834565,36088981.28482454,1
1854,IL,0,68286441.61834565,36088981.28482454,1
1855,IL,0,68286441.61834565,36088981.28482454,1
1856,IL,0,68286441.61834565,36088981.28482454,1
1857,IL,0,68286441.61834565,36088981.28482454,1
1858,IL,0,68286441.61834565,36088981.28482454,1
1859,IL,0,68286441.61834565,36088981.28482454,1
1860,IL,0,68286441.61834565,36088981.28482454,1
1861,IL,0,68286441.61834565,36088981.28482454,1
1863,IL,0,68286441.61834565,36088981.28482454,1
1864,IL,0,68286441.61834565,36088981.28482454,1
1865,IL,0,68286441.61834565,36088981.28482454,1
1866,IL,0,68286441.61834565,36088981.28482454,1
1867,IL,0,68286441.61834565,36088981.28482454,1
1868,IL,0,68286441.61834565,36088981.28482454,1
1869,IL,0,68286441.61834565,36088981.28482454,1
1870,IL,0,68286441.61834565,36088981.28482454,1
1871,IL,0,68286441.61834565,36088981.28482454,1
1872,IL,0,68286441.61834565,36088981.28482454,1
1873,IL,0,68286441.61834565,36088981.28482454,1
1874,IL,0,68286441.61834565,36088981.28482454,1
1875,IL,0,68286441.61834565,36088981.28482454,1
1876,IL,0,68286441.61834565,36088981.28482454,1
1877,IL,0,68286441.61834565,36088981.28482454,1
1878,IL,0,68286441.61834565,36088981.28482454,1
1879,IL,0,68286441.61834565,36088981.28482454,1
1880,IL,0,68286441.61834565,36088981.28482454,1
1881,IL,0,68286441.61834565,36088981.28482454,1
1882,IL,0,68286441.61834565,36088981.28482454,1
1883,IL,0,68286441.61834565,36088981.28482454,1
1884,IL,0,68286441.61834565,36088981.28482454,1
1886,IL,0,68286441.61834565,36088981.28482454,1
1887,IL,0,68286441.61834565,36088981.28482454,1
1888,IL,0,68286441.61834565,36088981.28482454,1
1889,IL,0,68286441.61834565,36088981.28482454,1
1890,IL,0,68286441.61834565,36088981.28482454,1
1891,IL,0,68286441.61834565,36088981.28482454,1
1892,IL,0,68286441.61834565,36088981.28482454,1
1893,IL,0,68286441.61834565,36088981.28482454,1
1784,IN,0,0,23173802.32655728,0
1785,IN,0,0,23173802.32655728,0
1788,IN,0,0,23173802.32655728,0
1790,IN,0,0,23173802.32655728,0
1791,IN,0,0,23173802.32655728,0
1794,IN,0,0,23173802.32655728,0
1795,IN,2375768.4793648124,2375768.4793648124,23173802.32655728,0.10251957990692669
1796,IN,0,2375768.4793648124,23173802.32655728,0.10251957990692669
1797,IN,0,2375768.4793648124,23173802.32655728,0.10251957990692669
1798,IN,0,2375768.4793648124,23173802.32655728,0.10251957990692669
1801,IN,0,2375768.4793648124,23173802.32655728,0.10251957990692669
1802,IN,0,2375768.4793648124,23173802.32655728,0.10251957990692669
1803,IN,0,2375768.4793648124,23173802.32655728,0.10251957990692669
1804,IN,1872427.213481254,4248195.692846066,23173802.32655728,0.1833188888462044
1805,IN,1610487.0719607018,5858682.764806768,23173802.32655728,0.2528149106585194
1806,IN,0,5858682.764806768,23173802.32655728,0.2528149106585194
1807,IN,0,5858682.764806768,23173802.32655728,0.2528149106585194
1808,IN,0,5858682.764806768,23173802.32655728,0.2528149106585194
1809,IN,2757657.1594094485,8616339.924216216,23173802.32655728,0.37181381815542
1814,IN,0,8616339.924216216,23173802.32655728,0.37181381815542
1816,IN,0,8616339.924216216,23173802.32655728,0.37181381815542
1817,IN,182881.64739671204,8799221.571612928,23173802.32655728,0.37970555921800464
1818,IN,8556525.255069364,17355746.826682292,23173802.32655728,0.7489382442342027
1819,IN,330822.72977717634,17686569.556459468,23173802.32655728,0.7632139649431022
1820,IN,0,17686569.556459468,23173802.32655728,0.7632139649431022
1821,IN,497230.61197127396,18183800.168430742,23173802.32655728,0.7846705478967527
1823,IN,0,18183800.168430742,23173802.32655728,0.7846705478967527
1824,IN,0,18183800.168430742,23173802.32655728,0.7846705478967527
1825,IN,0,18183800.168430742,23173802.32655728,0.7846705478967527
1826,IN,1057085.1708617527,19240885.339292496,23173802.32655728,0.8302860733925549
1827,IN,0,19240885.339292496,23173802.32655728,0.8302860733925549
1828,IN,982551.7667638827,20223437.106056377,23173802.32655728,0.8726853203058623
1829,IN,0,20223437.106056377,23173802.32655728,0.8726853203058623
1830,IN,0,20223437.106056377,23173802.32655728,0.8726853203058623
1831,IN,0,20223437.106056377,23173802.32655728,0.8726853203058623
1832,IN,3449645.9165012757,23673083.022557653,23173802.32655728,1
1833,IN,0,23673083.022557653,23173802.32655728,1
1835,IN,0,23673083.022557653,23173802.32655728,1
1836,IN,0,23673083.022557653,23173802.32655728,1
1837,IN,0,23673083.022557653,23173802.32655728,1
1838,IN,0,23673083.022557653,23173802.32655728,1
1839,IN,0,23673083.022557653,23173802.32655728,1
1842,IN,0,23673083.022557653,23173802.32655728,1
1846,IN,0,23673083.022557653,23173802.32655728,1
1847,IN,0,23673083.022557653,23173802.32655728,1
1848,IN,0,23673083.022557653,23173802.32655728,1
1851,IN,0,23673083.022557653,23173802.32655728,1
1852,IN,0,23673083.022557653,23173802.32655728,1
1853,IN,0,23673083.022557653,23173802.32655728,1
1854,IN,0,23673083.022557653,23173802.32655728,1
1855,IN,0,23673083.022557653,23173802.32655728,1
1856,IN,0,23673083.022557653,23173802.32655728,1
1857,IN,0,23673083.022557653,23173802.32655728,1
1858,IN,0,23673083.022557653,23173802.32655728,1
1859,IN,0,23673083.022557653,23173802.32655728,1
1860,IN,0,23673083.022557653,23173802.32655728,1
1861,IN,0,23673083.022557653,23173802.32655728,1
1863,IN,0,23673083.022557653,23173802.32655728,1
1864,IN,0,23673083.022557653,23173802.32655728,1
1865,IN,0,23673083.022557653,23173802.32655728,1
1866,IN,0,23673083.022557653,23173802.32655728,1
1867,IN,0,23673083.022557653,23173802.32655728,1
1868,IN,0,23673083.022557653,23173802.32655728,1
1869,IN,0,23673083.022557653,23173802.32655728,1
1870,IN,0,23673083.022557653,23173802.32655728,1
1871,IN,0,23673083.022557653,23173802.32655728,1
1872,IN,0,23673083.022557653,23173802.32655728,1
1873,IN,0,23673083.022557653,23173802.32655728,1
1874,IN,0,23673083.022557653,23173802.32655728,1
1875,IN,0,23673083.022557653,23173802.32655728,1
1876,IN,0,23673083.022557653,23173802.32655728,1
1877,IN,0,23673083.022557653,23173802.32655728,1
1878,IN,0,23673083.022557653,23173802.32655728,1
1879,IN,0,23673083.022557653,23173802.32655728,1
1880,IN,0,23673083.022557653,23173802.32655728,1
1881,IN,0,23673083.022557653,23173802.32655728,1
1882,IN,0,23673083.022557653,23173802.32655728,1
1883,IN,0,23673083.022557653,23173802.32655728,1
1884,IN,0,23673083.022557653,23173802.32655728,1
1886,IN,0,23673083.022557653,23173802.32655728,1
1887,IN,0,23673083.022557653,23173802.32655728,1
1888,IN,0,23673083.022557653,23173802.32655728,1
1889,IN,0,23673083.022557653,23173802.32655728,1
1890,IN,0,23673083.022557653,23173802.32655728,1
1891,IN,0,23673083.022557653,23173802.32655728,1
1892,IN,0,23673083.022557653,23173802.32655728,1
1893,IN,0,23673083.022557653,23173802.32655728,1
1784,KS,0,0,52678369.13166625,0
1785,KS,0,0,52678369.13166625,0
1788,KS,0,0,52678369.13166625,0
1790,KS,0,0,52678369.13166625,0
1791,KS,0,0,52678369.13166625,0
1794,KS,0,0,52678369.13166625,0
1795,KS,0,0,52678369.13166625,0
1796,KS,0,0,52678369.13166625,0
1797,KS,0,0,52678369.13166625,0
1798,KS,0,0,52678369.13166625,0
1801,KS,0,0,52678369.13166625,0
1802,KS,0,0,52678369.13166625,0
1803,KS,0,0,52678369.13166625,0
1804,KS,0,0,52678369.13166625,0
1805,KS,0,0,52678369.13166625,0
1806,KS,0,0,52678369.13166625,0
1807,KS,0,0,52678369.13166625,0
1808,KS,0,0,52678369.13166625,0
1809,KS,0,0,52678369.13166625,0
1814,KS,0,0,52678369.13166625,0
1816,KS,0,0,52678369.13166625,0
1817,KS,0,0,52678369.13166625,0
1818,KS,0,0,52678369.13166625,0
1819,KS,0,0,52678369.13166625,0
1820,KS,0,0,52678369.13166625,0
1821,KS,0,0,52678369.13166625,0
1823,KS,0,0,52678369.13166625,0
1824,KS,0,0,52678369.13166625,0
1825,KS,45252430.849441774,45252430.849441774,52678369.13166625,0.8590324946532834
1826,KS,0,45252430.849441774,52678369.13166625,0.8590324946532834
1827,KS,0,45252430.849441774,52678369.13166625,0.8590324946532834
1828,KS,0,45252430.849441774,52678369.13166625,0.8590324946532834
1829,KS,0,45252430.849441774,52678369.13166625,0.8590324946532834
1830,KS,3830.854744727705,45256261.7041865,52678369.13166625,0.859105216242958
1831,KS,81975.59814267774,45338237.302329175,52678369.13166625,0.860661369166709
1832,KS,960615.3243525643,46298852.62668174,52678369.13166625,0.8788968487418561
1833,KS,2131688.4875631034,48430541.11424484,52678369.13166625,0.9193629550906515
1835,KS,741346.2434318127,49171887.357676655,52678369.13166625,0.933436022568858
1836,KS,180902.58797706378,49352789.94565372,52678369.13166625,0.9368701187825224
1837,KS,0,49352789.94565372,52678369.13166625,0.9368701187825224
1838,KS,1750591.3744114193,51103381.32006514,52678369.13166625,0.9701018114728547
1839,KS,0,51103381.32006514,52678369.13166625,0.9701018114728547
1842,KS,362534.41377216263,51465915.73383731,52678369.13166625,0.9769838471119238
1846,KS,7449937.16977893,58915852.903616235,52678369.13166625,1
1847,KS,0,58915852.903616235,52678369.13166625,1
1848,KS,0,58915852.903616235,52678369.13166625,1
1851,KS,3681339.335091494,62597192.23870773,52678369.13166625,1
1852,KS,0,62597192.23870773,52678369.13166625,1
1853,KS,0,62597192.23870773,52678369.13166625,1
1854,KS,2452621.192412177,65049813.431119904,52678369.13166625,1
