STUSPS,total_acres_2021,year,morill_acres,homestead_acres,morill_acres_cum,homestead_acres_cum
MI,37649175.2880441,1871,292.4,84022,1134589.16,266646
MI,37649175.2880441,1872,3189.58,105560,1137778.74,372206
MI,37649175.2880441,1873,6689.260000000001,132773,1144468,504979
MI,37649175.2880441,1874,480,108666,1144948,613645
MI,37649175.2880441,1875,1558.1599999999999,98850,1146506.16,712495
MI,37649175.2880441,1876,973.43,112501,1147479.5899999999,824996
MI,37649175.2880441,1877,879.52,90094,1148359.1099999999,915090
MI,37649175.2880441,1878,320,124988,1148679.1099999999,1040078
MI,37649175.2880441,1879,160,71711,1148839.1099999999,1111789
MI,37649175.2880441,1880,0,74584,1148839.1099999999,1186373
MI,37649175.2880441,1881,160.4,81846,1148999.5099999998,1268219
MI,37649175.2880441,1882,0,70156,1148999.5099999998,1338375
MI,37649175.2880441,1883,640,59569,1149639.5099999998,1397944
MI,37649175.2880441,1884,40,69589,1149679.5099999998,1467533
MI,37649175.2880441,1885,0,50435,1149679.5099999998,1517968
MI,37649175.2880441,1886,320,56513,1149999.5099999998,1574481
MI,37649175.2880441,1887,0,48046,1149999.5099999998,1622527
MI,37649175.2880441,1888,160,48711,1150159.5099999998,1671238
MI,37649175.2880441,1889,0,47543,1150159.5099999998,1718781
MI,37649175.2880441,1890,0,42582,1150159.5099999998,1761363
MI,37649175.2880441,1891,0,34970,1150159.5099999998,1796333
MI,37649175.2880441,1892,0,26877,1150159.5099999998,1823210
MI,37649175.2880441,1893,0,27437,1150159.5099999998,1850647
MI,37649175.2880441,1894,0,33611,1150159.5099999998,1884258
MI,37649175.2880441,1895,160,24475,1150319.5099999998,1908733
MI,37649175.2880441,1896,0,22506,1150319.5099999998,1931239
MI,37649175.2880441,1897,0,23448,1150319.5099999998,1954687
MI,37649175.2880441,1898,0,29338,1150319.5099999998,1984025
MI,37649175.2880441,1899,0,28534,1150319.5099999998,2012559
MI,37649175.2880441,1900,0,26101,1150319.5099999998,2038660
